DateTime,Entries,UniqueIPs
1591872755,5097,5097
1591874660,5073,5073
1591876599,5042,5042
1591878498,5033,5033
1591880664,5047,5047
1591882603,5037,5037
1591884499,5064,5064
1591886436,5060,5060
1591888252,5054,5054
1591890258,5024,5024
1591892196,4995,4995
1591894112,4967,4967
1591896018,4948,4948
1591898142,4916,4916
1591900101,4922,4922
1591902993,4926,4926
1591904902,4926,4926
1591906829,4939,4939
1591908776,4944,4944
1591910685,4955,4955
1591912598,4937,4937
1591914495,5006,5006
1591916716,5018,5018
1591918586,5052,5052
1591920508,5066,5066
1591922423,5089,5089
1591924361,5113,5113
1591926261,5129,5129
1591928178,5139,5139
1591930121,5180,5180
1591932013,5232,5232
1591933967,5270,5270
1591935886,5295,5295
1591937778,5323,5323
1591939702,5338,5338
1591942624,5361,5361
1591944539,5413,5413
1591946416,5444,5444
1591948395,5492,5492
1591950273,5529,5529
1591952216,5574,5574
1591954094,5569,5569
1591957242,5594,5594
1591959141,5620,5620
1591961081,5658,5658
1591962979,5678,5678
1591964900,5696,5696
1591967073,5719,5719
1591968992,5770,5770
1591970901,5734,5734
1591972815,5669,5669
1591975020,5588,5588
1591976981,5544,5544
1591978826,5502,5502
1591980739,5458,5458
1591982654,5430,5430
1591984587,5444,5444
1591986492,5406,5406
1591989375,5355,5355
1591991294,5324,5324
1591993224,5276,5276
1591995150,5226,5226
1591997055,5182,5182
1591998990,5156,5156
1592000925,5075,5075
1592002995,5026,5026
1592004971,4921,4921
1592006936,4844,4844
1592008959,4749,4749
1592010976,4675,4675
1592012922,4598,4598
1592014820,4513,4513
1592016741,4424,4424
1592018689,4351,4351
1592020574,4297,4297
1592022511,4238,4238
1592024665,4148,4148
1592026575,4059,4059
1592028509,4003,4003
1592030408,3917,3917
1592032581,3842,3842
1592034499,3755,3755
1592036426,3671,3671
1592038338,3568,3568
1592040256,3585,3585
1592042194,3636,3636
1592044094,3642,3642
1592046985,3575,3575
1592048898,3558,3558
1592050829,3602,3602
1592052739,3537,3537
1592054657,3487,3487
1592056590,3446,3446
1592058497,3436,3436
1592060594,3510,3510
1592062585,3570,3570
1592064546,3613,3613
1592066413,3654,3654
1592068377,3660,3660
1592070256,3656,3656
1592072179,3656,3656
1592074108,3680,3680
1592076010,3691,3691
1592077933,3716,3716
1592080016,3746,3746
1592082975,3785,3785
1592084941,3848,3848
1592086816,3891,3891
1592088762,3949,3949
1592090696,3996,3996
1592092571,4059,4059
1592094492,4112,4112
1592097378,4210,4210
1592099312,4305,4305
1592101239,4380,4380
1592103136,4431,4431
1592105070,4477,4477
1592106987,4578,4578
1592108896,4637,4637
1592111057,4688,4688
1592112992,4773,4773
1592114903,4833,4833
1592116831,4844,4844
1592118745,4872,4872
1592120653,4909,4909
1592122578,4930,4930
1592124508,4965,4965
1592126411,5042,5042
1592128333,5005,5005
1592130275,4962,4962
1592132172,4994,4994
1592134092,4999,4999
1592136245,4965,4965
1592138365,4925,4925
1592140224,4891,4891
1592143305,4864,4864
1592145140,4895,4895
1592147074,4897,4897
1592148989,4908,4908
1592150922,4891,4891
1592152816,4925,4925
1592154751,4938,4938
1592156663,4917,4917
1592158587,4940,4940
1592160535,4968,4968
1592162414,4980,4980
1592164428,4981,4981
1592166276,5006,5006
1592168178,5030,5030
1592170123,5040,5040
1592173241,5048,5048
1592175135,5036,5036
1592177079,5006,5006
1592178976,5000,5000
1592180917,4983,4983
1592183074,4997,4997
1592184984,4984,4984
1592186895,4947,4947
1592188834,4939,4939
1592190734,4926,4926
1592192658,4927,4927
1592194588,4912,4912
1592196531,4907,4907
1592198412,4914,4914
1592200348,4889,4889
1592202255,4894,4894
1592204188,4931,4931
1592206117,4974,4974
1592208263,4995,4995
1592210174,5032,5032
1592212112,5039,5039
1592214027,5106,5106
1592215948,5199,5199
1592217870,5317,5317
1592219779,5407,5407
1592221778,5536,5536
1592223631,5628,5628
1592225538,5692,5692
1592227459,5841,5841
1592229393,5973,5973
1592231293,6034,6034
1592233621,6092,6092
1592235639,6113,6113
1592237784,6138,6138
1592239697,6164,6164
1592241645,6182,6182
1592243544,6179,6179
1592245471,6165,6165
1592247430,6150,6150
1592249304,6153,6153
1592251486,6151,6151
1592253383,6181,6181
1592255318,6168,6168
1592257216,6157,6157
1592259131,6144,6144
1592261072,6113,6113
1592262981,6103,6103
1592264897,6103,6103
1592266829,6090,6090
1592268761,6010,6010
1592270563,5974,5974
1592272596,5934,5934
1592274504,5880,5880
1592276608,5831,5831
1592278576,5788,5788
1592280514,5748,5748
1592282419,5707,5707
1592284333,5665,5665
1592286276,5637,5637
1592288420,5603,5603
1592290354,5581,5581
1592292280,5537,5537
1592294185,5527,5527
1592296117,5489,5489
1592299012,5374,5374
1592300915,5275,5275
1592302817,5205,5205
1592304741,5113,5113
1592306679,5025,5025
1592308579,4895,4895
1592310825,4789,4789
1592312925,4684,4684
1592314824,4582,4582
1592316763,4428,4428
1592318703,4319,4319
1592320602,4246,4246
1592322534,4194,4194
1592324426,4145,4145
1592326343,4078,4078
1592328279,4033,4033
1592330177,4003,4003
1592332422,3951,3951
1592334401,3906,3906
1592336458,3859,3859
1592338334,3824,3824
1592340318,3772,3772
1592342181,3737,3737
1592344091,3684,3684
1592346034,3620,3620
1592347935,3629,3629
1592349856,3593,3593
1592351822,3541,3541
1592353945,3518,3518
1592355901,3503,3503
1592357919,3496,3496
1592360000,3479,3479
1592361867,3452,3452
1592363773,3418,3418
1592365718,3393,3393
1592367614,3368,3368
1592369535,3343,3343
1592371485,3313,3313
1592373386,3339,3339
1592375545,3345,3345
1592377492,3379,3379
1592379378,3392,3392
1592381307,3423,3423
1592383250,3480,3480
1592385164,3467,3467
1592387083,3467,3467
1592388990,3451,3451
1592390908,3406,3406
1592392840,3347,3347
1592394763,3311,3311
1592396685,3245,3245
1592398577,3180,3180
1592400681,3084,3084
1592402667,3067,3067
1592404599,3033,3033
1592406508,3003,3003
1592408417,2990,2990
1592410413,2962,2962
1592412263,2938,2938
1592414175,2892,2892
1592416131,2860,2860
1592418025,2841,2841
1592419938,2793,2793
1592421913,2774,2774
1592423782,2758,2758
1592425699,2694,2694
1592427802,2664,2664
1592429937,2679,2679
1592431934,2678,2678
1592433882,2638,2638
1592435782,2648,2648
1592437698,2667,2667
1592439653,2683,2683
1592441559,2699,2699
1592443461,2726,2726
1592445414,2747,2747
1592447300,2763,2763
1592449389,2784,2784
1592451393,2811,2811
1592453316,2838,2838
1592455215,2880,2880
1592457133,2920,2920
1592459093,2923,2923
1592461222,2885,2885
1592463215,2884,2884
1592465077,2833,2833
1592466981,2810,2810
1592468898,2701,2701
1592471082,2659,2659
1592472993,2637,2637
1592474903,2600,2600
