DateTime,AddedIPs,RemovedIPs
1591874657,100,119
1591876595,86,107
1591878494,111,102
1591880642,124,118
1591882599,101,105
1591884496,137,105
1591886433,120,142
1591888248,135,126
1591890254,115,147
1591892193,130,146
1591894109,108,128
1591896015,105,119
1591898085,213,154
1591900098,129,100
1591902986,148,141
1591904897,103,92
1591906820,127,92
1591908750,116,115
1591910680,104,87
1591912582,94,109
1591914491,182,133
1591916529,144,89
1591918331,138,84
1591920504,97,82
1591922419,109,90
1591924356,107,88
1591926257,95,122
1591928175,86,85
1591930117,130,87
1591932009,122,77
1591933964,102,60
1591935879,104,80
1591937773,133,103
1591939693,108,103
1591942588,186,164
1591944533,151,107
1591946413,133,99
1591948352,140,102
1591950271,140,104
1591952213,144,94
1591954091,170,84
1591957238,188,163
1591959138,110,88
1591961077,130,107
1591962975,95,95
1591964897,122,130
1591967065,145,128
1591968988,140,98
1591970896,96,130
1591972811,54,124
1591975014,58,164
1591976976,72,117
1591978823,64,120
1591980736,72,114
1591982651,94,120
1591984583,131,211
1591986488,78,131
1591989372,111,174
1591991291,101,135
1591993221,62,152
1591995147,70,136
1591997052,103,128
1591998981,82,118
1592000889,78,182
1592002915,86,180
1592004777,57,182
1592006933,51,143
1592008956,76,162
1592010973,64,144
1592012919,65,136
1592014817,49,131
1592016738,74,158
1592018686,75,150
1592020571,55,118
1592022508,78,135
1592025625,101,212
1592027532,62,186
1592029451,60,146
1592031382,110,162
1592033290,73,141
1592036170,147,245
1592038336,87,204
1592040254,79,166
1592042190,165,122
1592044091,138,141
1592046982,185,236
1592048896,138,138
1592050827,171,122
1592052736,127,194
1592054654,118,169
1592056587,132,170
1592058493,82,92
1592060518,122,51
1592062335,107,48
1592064295,105,68
1592066195,93,59
1592068127,84,72
1592070013,99,96
1592071946,91,107
1592073854,96,71
1592075778,88,72
1592077715,80,86
1592079613,79,55
1592081576,84,50
1592083466,111,83
1592085409,131,70
1592087295,107,69
1592089402,123,73
1592091382,127,63
1592093290,116,44
1592095210,101,60
1592097143,122,54
1592099058,146,55
1592100987,126,56
1592102907,121,66
1592104809,103,68
1592106730,146,43
1592108669,119,57
1592110570,107,74
1592112989,169,53
1592114899,133,66
1592116824,81,87
1592118742,99,79
1592120650,99,73
1592122575,117,98
1592124506,109,74
1592126408,139,57
1592128330,133,154
1592130273,91,128
1592132169,137,108
1592134089,117,109
1592137209,179,261
1592139077,173,127
1592141159,327,132
1592143155,347,116
1592145136,293,98
1592147072,121,114
1592148986,130,119
1592150919,95,104
1592152811,135,101
1592154749,114,86
1592156662,93,114
1592158585,111,90
1592160512,150,104
1592162412,97,96
1592164425,116,103
1592166272,96,78
1592168175,95,81
1592170121,102,97
1592173239,164,150
1592175131,96,96
1592177075,70,114
1592178972,89,95
1592180915,80,96
1592183068,117,110
1592184979,98,109
1592186894,77,114
1592188829,89,108
1592190730,76,93
1592192653,109,106
1592194585,95,116
1592196529,86,100
1592198409,103,97
1592200344,103,117
1592202253,101,86
1592204186,109,70
1592206112,116,83
1592208189,120,102
1592210169,138,95
1592212109,139,140
1592214023,191,119
1592215945,177,92
1592217867,219,97
1592219775,191,113
1592221747,218,102
1592223626,223,115
1592225533,150,173
1592227457,240,286
1592229390,230,336
1592231287,172,292
1592233616,195,134
1592235631,163,131
1592237781,173,134
1592239694,151,105
1592241640,134,115
1592243541,100,105
1592245467,100,112
1592247426,118,140
1592249298,108,95
1592251407,101,115
1592253380,133,98
1592255311,102,108
1592257213,84,87
1592259128,103,114
1592261069,73,101
1592262975,77,76
1592264891,84,84
1592266826,76,91
1592268728,70,148
1592270559,63,97
1592272592,72,95
1592274501,55,111
1592276547,64,109
1592278353,80,86
1592280362,71,122
1592282202,69,111
1592284134,63,113
1592286010,75,106
1592287963,73,95
1592289853,82,95
1592291798,76,100
1592293711,75,118
1592295622,106,135
1592297554,78,123
1592299488,70,191
1592301376,97,172
1592303295,70,172
1592305429,150,181
1592307404,101,205
1592309293,87,212
1592311214,131,202
1592313154,129,225
1592315061,108,216
1592316970,60,205
1592318929,79,181
1592320812,79,139
1592322736,87,141
1592324681,96,170
1592326572,80,135
1592328491,78,107
1592330460,90,124
1592332419,57,106
1592334384,76,115
1592336438,72,108
1592338332,97,109
1592340304,92,126
1592342174,95,102
1592344089,66,108
1592346032,82,155
1592347933,85,71
1592349850,66,79
1592351817,56,103
1592353942,61,76
1592355895,52,68
1592357917,70,57
1592359959,46,62
1592361864,42,70
1592363770,48,72
1592365715,47,76
1592367610,58,82
1592369532,52,69
1592371481,55,83
1592373381,113,85
1592375543,146,103
1592377488,175,70
1592379375,126,99
1592381297,206,91
1592383247,195,96
1592385138,83,85
1592387080,100,101
1592388984,82,88
1592390905,76,114
1592392838,75,128
1592394760,76,102
1592396683,70,126
1592398574,65,142
1592400678,79,167
1592402658,79,119
1592404596,71,107
1592406499,100,122
1592408414,78,82
1592410410,132,109
1592412260,69,96
1592414172,78,112
1592416121,107,142
1592418021,80,86
1592419935,79,121
1592421910,87,104
1592423779,91,103
1592425693,75,146
1592427780,74,116
1592429932,136,118
1592431931,112,101
1592433880,99,127
1592435776,79,69
1592437695,95,47
1592439650,78,55
1592441554,88,58
1592443456,92,61
1592445411,87,67
1592447297,80,39
1592449369,84,44
1592451389,70,52
1592453312,71,34
1592455211,97,40
1592457130,102,61
1592459089,95,73
1592461218,67,136
1592463133,94,141
1592465071,79,154
1592466974,112,156
1592468896,78,232
1592470965,68,109
1592472987,66,96
1592474899,69,94
